# n | country name | income | shield location | flag location | neighbours | terrain
0 | DARKAN | 20 | ( 3 , 2 ) | (2 , 3) | 1 ;  2; 3;4 | ( 1 , 2 ) ; ( 2,2);(3,2);(4,2);(1,3);(2,3);(3,3);(4,3);(1,4);(2,4);(3,4);(4,4);(3,5);(4,5);(0,23);(1,23);(2,23);(3,23);(4,23);(5,23);(6,23);(7,23)
1 | ARAN | 30 | (1,6) | (1,5) | 0;4;5 | (0,4);(0,5);(1,5);(2,5);(0,6);(1,6);(2,6);(1,7);(2,7)
2 | BETHENESE | 40 | (8,2) | (6,2) | 0;3;7 | (5,1);(8,1);(5,2);(6,2);(7,2);(8,2);(9,2);(5,3);(6,3);(7,3);(8,3);(8,4)
3 | CORYNBORD | 50 | (6,6) | (6,4) | 0;2;4;7;10;11 | (5,4);(6,4);(7,4);(5,5);(6,5);(7,5);(5,6);(6,6);(7,6);(6,7)
4 | DESTER | 20 | (4,7) | (5,8) | 0;1;3;5;6;11;12;17 | (3,6);(4,6);(3,7);(4,7);(5,7);(3,8);(4,8);(5,8);(6,8);(4,9);(5,9);(4,10);(5,10);(4,11);(5,11);(6,11);(4,12);(5,12);(6,12);(5,13);(6,13)
5 | EMBER | 30 | (0,8) | (1,9) | 1;4;6 | (0,7);(0,8);(1,8);(2,8);(0,9);(1,9);(2,9);(0,10);(1,10);(2,10);(0,11);(1,11);(2,11)
6 | FERTEN | 40 | (3,12) | (2,13) | 4;5;17;18 | (3,9);(3,10);(3,11);(0,12);(1,12);(2,12);(3,12);(0,13);(1,13);(2,13);(3,13);(1,14);(2,14);(3,14);(2,15)
7 | GINBREK | 50 | (11,2) | (12,1) | 2;3;8;9;10 | (9,0);(10,0);(11,0);(12,0);(13,0);(14,0);(15,0);(16,0);(17,0);(18,0);(9,1);(10,1);(11,1);(12,1);(13,1);(10,2);(11,2);(12,2);(13,2);(9,3);(10,3);(11,3);(12,3);(9,4);(10,4);(8,5);(9,5)
8 | HUMAN | 20 | (16,3) | (18,2) | 7;9;10;13 | (19,0);(14,1);(15,1);(16,1);(17,1);(18,1);(19,1);(14,2);(15,2);(16,2);(17,2);(18,2);(19,2);(20,2);(13,3);(14,3);(15,3);(16,3);(17,3);(18,3);(19,3);(20,3);(21,3);(12,4);(13,4);(14,4);(15,4);(16,4);(17,4);(18,4);(19,4);(12,5);(13,5);(14,5);(15,5);(16,5);(17,5);(18,5);(19,5);(11,6);(12,6);(15,6);(16,6);(17,6);(18,6);(19,6);(16,7)
9 | ILDAS | 30 | (21,0) | (22,1) | 7;8 | (20,0);(21,0);(22,0);(23,0);(24,0);(20,1);(21,1);(22,1);(23,1);(21,2);(22,2)
10 | KRAM | 40 | (11,8) | (13,7) | 3;7;8;11;12;13 | (11,4);(10,5);(11,5);(8,6);(9,6);(10,6);(13,6);(14,6);(8,7);(9,7);(10,7);(11,7);(12,7);(13,7);(14,7);(9,8);(10,8);(11,8);(12,8);(13,8);(14,8);(9,9);(10,9);(11,9);(12,9);(11,10);(11,11)
